game,rate,genre,review1,tag1,tag2,tag3,tag4,tag5
MONSTER HUNTER RISE,1446780,9,Action Games,Action,Online Co-Op,RPG,Hunting,
PUBG: BATTLEGROUNDS,578080,6,Free to Play Games,Survival,Shooter,Multiplayer,Battle Royale,
Apex Legends™,1172470,9,Action Games,Free to Play,Battle Royale,Multiplayer,Shooter,
DJMAX RESPECT V,960170,9,Action Games,Rhythm,Casual,Action,Music,Sports
Raft,648800,9,Adventure Games,Survival,Open World Survival Craft,Multiplayer,,
Ready or Not,1144200,9,Action Games,Tactical,Realistic,FPS,Multiplayer,Shooter
Red Dead Redemption 2,1174180,9,Adventure Games,Open World,Adventure,Story Rich,Western,
FIFA 22,1506830,9,Sports Games,Soccer,Sports,Multiplayer,Competitive,
Football Manager 2022,1569040,9,Simulation Games,Sports,Management,Soccer,Simulation,
TEKKEN 7,389730,9,Action Games,Fighting,Action,Multiplayer,Competitive,
The Sims™ 4,1222670,9,Simulation Games,Life Sim,Character Customization,Simulation,,
Stardew Valley,413150,10,Indie Games,Farming Sim,Life Sim,Pixel Graphics,RPG,
Sid Meier’s Civilization® VI,289070,9,Strategy Games,Strategy,Turn-Based Strategy,Historical,,
EZ2ON REBOOT : R,1477590,9,Action Games,Rhythm,Action,Casual,Music,Sports
Forza Horizon 5,1551360,9,Racing Games,Racing,Open World,Driving,Multiplayer,
Dead by Daylight,381210,9,Action Games,Horror,Survival Horror,Multiplayer,Online Co-Op,
Project Zomboid,108600,9,Early Access Games,Survival,Zombies,Open World,,Multiplayer
Tom Clancy's Rainbow Six® Siege,359550,9,Action Games,FPS,Hero Shooter,Multiplayer,Tactical,
It Takes Two,1426210,10,Adventure Games,Co-op,Multiplayer,Split Screen,Puzzle,
Sekiro™: Shadows Die Twice - GOTY Edition,814380,9,Action Games,Souls-like,Difficult,Action,Singleplayer,Ninja
Monster Hunter: World,582010,9,Action Games,Co-op,Multiplayer,Action,Open World,RPG
Eternal Return,1049590,9,Free to Play Games,Free to Play,Anime,MOBA,Survival,
V Rising,1604030,9,Adventure Games,Early Access,Survival,Open World,Crafting,
Destiny 2,1085660,9,Action Games,Free to Play,Open World,Looter Shooter,FPS,
ACE COMBAT™ 7: SKIES UNKNOWN,502500,9,Simulation Games,Flight,Jet,Military,War,Shooter
ELDEN RING,1245620,9,Action Games,Souls-like,Relaxing,Dark Fantasy,RPG,
Cuphead,268910,10,Action Games,Difficult,Cartoon,Platformer,Co-op,
Rust,252490,9,Action Games,Survival,Crafting,Multiplayer,Open World,
Counter-Strike: Global Offensive,730,9,Free to Play Games,FPS,Shooter,Multiplayer,Competitive,Action
Tales of Arise,740130,9,RPG Games,Anime,JRPG,RPG,Action RPG,Action
Sea of Thieves,1172620,9,Adventure Games,Adventure,Multiplayer,Open World,Pirates,
Hades,1145360,10,Action Games,Action Roguelike,Indie,Roguelite,Action,
ROMANCE OF THE THREE KINGDOMS XIV,872410,6,Simulation Games,Simulation,Strategy,Historical,Singleplayer,
Risk of Rain 2,632360,10,Action Games,Third-Person Shooter,Action Roguelike,Multiplayer,,
Muse Dash,774171,10,Indie Games,Music,Rhythm,Anime,Cute,
Assassin's Creed® Odyssey,812140,9,Action Games,Open World,RPG,Singleplayer,Assassin,
Dying Light 2 Stay Human,534380,7,Action Games,Open World,Zombies,Co-op,Multiplayer,
ARK: Survival Evolved,346110,9,Action Games,Open World Survival Craft,Survival,Open World,,
Cities: Skylines,255710,9,Simulation Games,City Builder,Simulation,Building,Management,
Overcooked! 2,728880,9,Indie Games,Multiplayer,Online Co-Op,Local Co-Op,Casual,
Stellaris,281990,9,Strategy Games,Space,Grand Strategy,Strategy,Sci-fi,4X
Total War: THREE KINGDOMS,779340,9,Strategy Games,Strategy,Historical,War,Turn-Based Strategy,
Yakuza: Like a Dragon,1235140,10,RPG Games,RPG,Adventure,Action,JRPG,
Human: Fall Flat,477160,9,Indie Games,Co-op,Funny,Puzzle,Adventure,Physics
Days Gone,1259420,9,Action Games,Open World,Zombies,Post-apocalyptic,,Survival
Hearts of Iron IV,394360,9,Strategy Games,Strategy,World War II,Grand Strategy,War,
Phasmophobia,739630,10,Indie Games,Horror,Online Co-Op,Multiplayer,,Co-op
The Binding of Isaac: Rebirth,250900,10,Action Games,Action Roguelike,Roguelike,Indie,Replay Value,
Yu-Gi-Oh! Master Duel,1449850,7,Free to Play Games,Card Game,Free to Play,Strategy,,PvP
A Dance of Fire and Ice,977950,9,Indie Games,Rhythm,Music,Indie,Difficult,
